09:25:33.353 [main] INFO  Ageas.AG005_Verify_App_Installation_Source_Popup - ************ Opening The Ageas Application *****************
09:25:36.061 [main] INFO  Resources.base - Successfully Opened The Application
09:25:36.098 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is true
09:25:38.698 [main] INFO  Resources.base - The Located by By.chained({By.xpath: //XCUIElementTypeStaticText[@name='Welcome']}) is having the Welcome text
09:25:58.900 [main] INFO  Resources.base - Located by By.chained({By.xpath: //XCUIElementTypeButton[@name='Skip']})or Located by By.chained({By.xpath: //XCUIElementTypeStaticText[contains(@name,'Identified')]}) Is Not There In The Application Screen
09:25:58.901 [main] INFO  Resources.base - Successfully converyed Array List To String And The String Value Is []
09:25:58.920 [main] INFO  Resources.base - Data are written into the Properties file
09:26:19.547 [main] INFO  Ageas.AG005_Verify_App_Installation_Source_Popup - ************ Closeing The Application *****************
09:26:20.647 [main] INFO  Resources.base - Successfully Closing The Application
09:28:13.383 [main] INFO  Ageas.AG004_Verify_UnsecuredWifi_Popup - ************ Opening The Setting Application *****************
09:28:17.366 [main] INFO  Resources.base - Successfully Opened The Application
09:28:17.403 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is true
09:28:17.403 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is false
09:28:17.403 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is true
09:29:05.038 [main] INFO  Ageas.AG004_Verify_UnsecuredWifi_Popup - ************ Opening The Setting Application *****************
09:29:08.970 [main] INFO  Resources.base - Successfully Opened The Application
09:29:09.004 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is true
09:29:09.005 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is false
09:29:09.005 [main] INFO  Resources.base - Successfully converted String To Boolean And The Boolean Valve is true
09:29:10.200 [main] INFO  Ageas.AG004_Verify_UnsecuredWifi_Popup - ************ Setting The Unsecured WiFi Network *****************
09:29:12.159 [main] INFO  Resources.base - The Located by By.chained({By.xpath: //XCUIElementTypeStaticText[@label='Settings']}) is having the Settings text
09:29:15.904 [main] INFO  Resources.base - Successfully Taped on  Located by By.chained({By.xpath: //XCUIElementTypeCell[@name='Wi-Fi']})
09:29:16.352 [main] INFO  Resources.base - The Located by By.chained({By.xpath: (//XCUIElementTypeStaticText[@name='Wi‑Fi'])[1]}) is not having the WiâFi text
